[2023-02-18 23:42:52,118] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,124] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,130] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,137] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,144] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,148] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,152] INFO [Broker id=0] Leader notificationItem-0 with topic id Some(gYj-iH-vQ2ykaBsWRFIckQ) starts at leader epoch 0 from offset 12 with partition epoch 0, high watermark 12, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,153] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,160] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,164] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,171] INFO [Broker id=0] Leader StockDetails-0 with topic id Some(CM0AD47oSSmwOIlMlxzPlQ) starts at leader epoch 0 from offset 15 with partition epoch 0, high watermark 15, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,172] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,177] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,183] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,188] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,194] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,199] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,205] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,213] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,219] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,224] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,229] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,234] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
